# leverage-v1 commands.log (ts	argv	rc	elapsed_s)
# manual setup/measurement commands executed for the evidence package (all < 300 s):
2026-08-01T05:29:00+0800	["python3", "reports/leverage-v1/build-shared.py"]	rc=0	2.261s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.019s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.050s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.025s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.246s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.016s
2026-08-01T05:33:49+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.017s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.034s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.030s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.033s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.040s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.037s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.032s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.030s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.032s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.022s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.021s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.033s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.032s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.028s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.030s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.025s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.025s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.027s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.027s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.030s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.030s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.034s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.032s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.038s
2026-08-01T05:33:50+0800	["./reports/first-matrix/bin/utf8-a1-engine", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/black-hole/full_trace/full_trace.bin", "calibrate"]	rc=0	0.033s
2026-08-01T05:33:50+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.019s
2026-08-01T05:33:50+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.182s
2026-08-01T05:33:50+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.019s
2026-08-01T05:33:51+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.180s
2026-08-01T05:33:51+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.019s
2026-08-01T05:33:51+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.179s
2026-08-01T05:33:51+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.018s
2026-08-01T05:33:51+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.180s
2026-08-01T05:33:51+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.331s
2026-08-01T05:33:53+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.629s
2026-08-01T05:33:53+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.336s
2026-08-01T05:33:55+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.636s
2026-08-01T05:33:55+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.337s
2026-08-01T05:33:57+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.627s
2026-08-01T05:33:57+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.332s
2026-08-01T05:33:59+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.633s
2026-08-01T05:33:59+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.085s
2026-08-01T05:34:00+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.153s
2026-08-01T05:34:00+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.086s
2026-08-01T05:34:01+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.167s
2026-08-01T05:34:01+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.087s
2026-08-01T05:34:03+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.167s
2026-08-01T05:34:03+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.084s
2026-08-01T05:34:04+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.168s
2026-08-01T05:34:04+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.334s
2026-08-01T05:34:06+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.619s
2026-08-01T05:34:06+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.333s
2026-08-01T05:34:08+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.622s
2026-08-01T05:34:08+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.332s
2026-08-01T05:34:10+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.613s
2026-08-01T05:34:10+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.332s
2026-08-01T05:34:12+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.610s
2026-08-01T05:34:12+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.074s
2026-08-01T05:34:13+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.005s
2026-08-01T05:34:13+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.074s
2026-08-01T05:34:14+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.004s
2026-08-01T05:34:14+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.076s
2026-08-01T05:34:15+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.003s
2026-08-01T05:34:15+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.075s
2026-08-01T05:34:16+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.009s
2026-08-01T05:34:16+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.023s
2026-08-01T05:34:16+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.202s
2026-08-01T05:34:16+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.022s
2026-08-01T05:34:17+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.203s
2026-08-01T05:34:17+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.026s
2026-08-01T05:34:17+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.199s
2026-08-01T05:34:17+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.020s
2026-08-01T05:34:17+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.204s
2026-08-01T05:34:17+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.098s
2026-08-01T05:34:18+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.340s
2026-08-01T05:34:18+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	0.096s
2026-08-01T05:34:20+0800	["./target/release/dcf-db-baseline", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection.bin", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/shared/projection-boundaries.jsonl", "/Users/looy/Documents/dcf/labs/storage-kernel/reports/leverage-v1/artifacts/conventional/full_trace", "calibrate"]	rc=0	1.344s
